n,popularity,avg. convincity,avg. playouts,avg. path,med. path ,max. path
2,70,1.0000,13566.7714,1.6000,2,2
3,142,1.0000,14165.0211,1.9772,2,3
4,88,0.4995,10371.6705,2.5991,3,4
6,9,0.7595,6178.1111,3.5859,4,5
7,139,0.7626,6092.2230,3.9358,4,6
8,132,0.7629,6040.3182,4.2365,4,6
10,46,0.3606,3534.0435,5.1948,5,7
11,104,0.6450,3018.0577,5.6412,6,8
12,78,0.6314,2579.4103,5.8181,6,8
14,48,0.5313,1664.9167,6.1559,6,9
15,130,0.5023,1413.6154,6.2581,6,9
16,83,0.5032,1318.0120,6.3257,6,9
18,43,0.5108,1200.2791,6.4004,6,9
19,122,0.5177,1150.9180,6.3956,6,9
20,100,0.5190,1164.1000,6.4224,6,9
21,5,0.5198,963.6000,6.2554,6,8
22,32,0.5363,1110.1250,6.4304,6,9
23,112,0.5152,1153.4196,6.4280,6,9
24,86,0.5177,1134.3721,6.4217,6,9
25,3,0.5361,1141.6667,6.4637,6,8
26,29,0.5180,1116.5862,6.3955,6,8
27,101,0.5167,1154.3069,6.4291,6,9
28,61,0.5203,1125.6721,6.4096,6,9
29,3,0.5147,1074.3333,6.3652,6,8
30,32,0.5219,1121.2500,6.4071,6,9
31,73,0.5216,1106.4658,6.4023,6,9
32,60,0.5197,1119.1000,6.3983,6,9
33,7,0.5189,1077.0000,6.3910,6,8
34,25,0.5172,1103.4400,6.3999,6,9
35,71,0.5181,1113.3662,6.4031,6,9
36,37,0.5204,1067.2973,6.3735,6,9
37,14,0.5282,1088.3571,6.3693,6,8
38,17,0.5222,1039.6471,6.3384,6,9
39,45,0.5135,1122.8667,6.4145,6,9
40,39,0.5183,1047.2051,6.3425,6,9
41,2,0.5177,1147.0000,6.4443,6,9
42,12,0.5222,1101.5000,6.3954,6,9
43,29,0.5193,1067.6552,6.3671,6,9
44,20,0.5216,1020.5500,6.3245,6,9
45,5,0.5113,1092.8000,6.3675,6,8
46,12,0.5117,1045.7500,6.3375,6,9
47,7,0.5186,1108.1429,6.3902,6,8
48,5,0.5084,1047.6000,6.3344,6,8
49,6,0.5355,1064.0000,6.3525,6,8
