n,popularity,avg. convincity,avg. playouts,avg. path,med. path ,max. path
3,115,1.0000,6794.8870,2.0000,2,3
4,185,0.0144,5225.7351,2.6667,3,4
6,17,0.9907,4203.7647,3.5705,4,5
7,98,0.9904,4155.6122,3.7786,4,5
8,185,0.0573,3335.9081,4.5074,5,6
9,6,0.9350,2829.5000,5.1534,5,7
10,29,0.9236,2635.5862,5.2822,5,7
11,80,0.9276,2631.5625,5.3973,5,7
12,185,0.2374,2128.6703,5.9648,6,8
13,111,0.6772,1547.5045,6.6294,7,9
14,80,0.6941,1446.9000,6.5735,7,9
15,94,0.7291,1373.1170,6.5668,7,9
16,102,0.7541,1326.6667,6.6053,7,10
17,104,0.7960,1307.7692,6.6223,7,10
18,105,0.8507,1285.0667,6.5777,7,9
19,84,0.8988,1269.8214,6.5022,6,9
20,100,0.9262,1263.0800,6.4277,6,9
21,86,0.9436,1269.9186,6.3812,6,8
22,78,0.9614,1262.0513,6.3480,6,8
23,89,0.9713,1268.4157,6.3326,6,8
24,69,0.9778,1283.6812,6.3242,6,7
25,58,0.9847,1239.3276,6.2778,6,7
26,69,0.9893,1242.6232,6.2602,6,7
27,70,0.9927,1260.5857,6.2596,6,7
28,59,0.9947,1230.1017,6.2564,6,7
29,54,0.9961,1237.5741,6.2338,6,7
30,62,0.9982,1239.2742,6.2205,6,7
31,37,0.9989,1214.1892,6.2135,6,7
32,60,0.9988,1229.3667,6.2222,6,7
33,48,0.9997,1207.0000,6.2057,6,7
34,49,0.9997,1220.8776,6.2173,6,7
35,38,0.9999,1206.9474,6.1957,6,7
36,40,1.0000,1174.7750,6.1520,6,7
37,32,1.0000,1196.5625,6.1723,6,7
38,37,1.0000,1197.1351,6.1786,6,7
39,34,1.0000,1182.4118,6.1733,6,7
40,30,1.0000,1154.4667,6.1450,6,7
41,21,1.0000,1200.9524,6.1702,6,7
42,27,1.0000,1148.4815,6.1203,6,7
43,22,1.0000,1137.5909,6.1428,6,7
44,21,1.0000,1159.7143,6.1379,6,7
45,14,1.0000,1127.2143,6.1328,6,7
46,13,1.0000,1149.1538,6.0969,6,7
47,6,1.0000,1048.3333,6.0661,6,7
48,7,1.0000,1208.5714,6.1608,6,7
49,6,1.0000,1197.5000,6.1447,6,7
