n,popularity,avg. convincity,avg. playouts,avg. path,med. path ,max. path
1,91,1.0000,6220.4286,1.0000,1,1
2,107,1.0000,6287.4299,1.6000,2,2
3,99,1.0000,6265.7172,2.0000,2,3
4,5,0.0146,5150.8000,2.6667,3,4
5,105,0.9887,3922.4000,3.2939,3,5
6,94,0.9896,3951.7872,3.5818,4,5
7,96,0.9889,3825.7500,3.7899,4,5
8,19,0.0637,3175.4737,4.5660,5,6
9,75,0.9288,2723.1467,5.1283,5,7
10,102,0.9231,2572.0784,5.1989,5,7
11,92,0.9163,2424.0435,5.2598,5,7
12,74,0.2961,1804.9865,6.0754,6,8
13,62,0.5687,1345.7258,6.3895,6,9
14,86,0.5378,1278.2442,6.4203,6,9
15,81,0.5254,1220.0494,6.4240,6,9
16,75,0.5237,1258.6133,6.4856,6,9
17,68,0.5111,1244.7206,6.4890,6,9
18,72,0.5196,1159.6111,6.4605,6,9
19,82,0.5205,1165.1098,6.4764,6,9
20,72,0.5202,1189.3194,6.4809,6,9
21,73,0.5191,1226.5068,6.4968,6,9
22,71,0.5174,1106.1408,6.4334,6,9
23,70,0.5167,1230.3143,6.4871,6,9
24,80,0.5173,1153.2375,6.4456,6,9
25,62,0.5180,1171.6935,6.4576,6,9
26,67,0.5164,1157.7015,6.4454,6,9
27,52,0.5199,1156.2500,6.4503,6,9
28,58,0.5170,1162.0000,6.4526,6,9
29,56,0.5193,1149.7500,6.4481,6,9
30,49,0.5169,1144.6122,6.4427,6,9
31,54,0.5123,1201.7407,6.4662,6,9
32,45,0.5216,1121.3111,6.4328,6,9
33,41,0.5122,1221.7805,6.4793,6,9
34,37,0.5195,1193.3243,6.4698,6,9
35,30,0.5204,1184.3000,6.4663,6,9
36,39,0.5168,1164.9487,6.4494,6,9
37,30,0.5189,1077.5000,6.3725,6,9
38,25,0.5214,1164.9600,6.4500,6,9
39,30,0.5182,1171.9000,6.4530,6,9
40,24,0.5124,1167.8750,6.4399,6,8
41,22,0.5116,1136.0455,6.4404,6,9
42,26,0.5152,1088.7308,6.3954,6,9
43,18,0.5207,1076.4444,6.4064,6,9
44,20,0.5183,1197.3500,6.4645,6,9
45,15,0.5108,1151.4000,6.4352,6,9
46,14,0.5178,1128.0000,6.4228,6,8
47,13,0.5216,979.3846,6.3555,6,9
48,5,0.5158,1190.0000,6.4827,6,9
49,5,0.5083,1143.0000,6.4326,6,8
